year,office,mean_shift,median_shift,mean_shift_wt,median_shift_wt
1994,GOVERNOR,20.811778799199896,19.69495379018681,19.103507911180525,18.3995065916275
1994,US SENATE,14.13490885881288,12.377330079544283,13.455848285253335,12.4697633428752
1996,PRESIDENT,8.517523655578891,7.493801689578735,8.141014807639387,7.61776392804735
1996,US SENATE,39.57736118163744,33.23197263322745,38.713532495717146,33.0601199701606
1998,GOVERNOR,16.07505072063086,13.751119689106115,15.392237365257088,13.6705684207273
1998,US SENATE,36.508040986124584,27.377220480668754,36.018651865726895,28.6028602860286
2000,PRESIDENT,12.248714167482538,11.003192488393417,11.105868023133112,10.4890352596775
2000,US SENATE,24.637855377996868,23.505317122836097,22.557875101552,22.1439265258826
2002,GOVERNOR,25.993413845775407,25.37906838146816,25.970315148619033,25.6164099474672
2004,PRESIDENT,6.049464708777299,4.732774672671043,5.105585763408657,4.04129640828362
2004,US SENATE,15.180041399527399,14.397430450228232,14.184314184112505,14.0775100043138
2006,GOVERNOR,7.52479620258922,5.818808657345353,6.498225896546377,5.24967018944388
2006,US SENATE,28.227533567309045,28.77297920099015,27.947402271448507,28.8987510025373
2008,PRESIDENT,13.959801054664554,13.39508376972168,13.797287471243589,13.5474736430237
2010,GOVERNOR,15.64281997962906,14.769369490975853,14.247845030306602,14.0279681930354
2010,US SENATE,43.576184713722654,46.08240459304289,42.666432522934855,45.7979589906809
2012,GOVERNOR,7.776823894864184,5.616256224697338,5.875394814110953,4.33792318045346
2012,PRESIDENT,9.333216138198237,8.04868930404261,8.159090532664537,7.53943859716509
2012,US SENATE,11.391072365651867,10.434606954791057,10.508995877840954,10.0743267755005
2014,GOVERNOR,5.051685666324269,3.3865638766519695,3.703228934676683,2.82671364509926
2016,PRESIDENT,15.186532326400167,13.141447368421048,11.69085264535015,9.77898950503608
2016,US SENATE,12.36169082626162,10.42037758797633,10.414558641625458,9.00650469760581
2018,GOVERNOR,8.461584430660576,6.832297717107263,8.370273257234633,7.26551021483779
2018,US SENATE,13.846590316238446,13.755198239966756,14.068862985290071,14.2629423466171
2020,PRESIDENT,5.847921795885472,4.724785740508651,5.063335191748216,4.44983433131357
2022,GOVERNOR,8.711372961875242,6.690661390101923,7.819608196042582,6.45928991786847
2022,US SENATE,15.634387299220837,14.21052631578948,11.829619313354717,10.5929586607987
2024,PRESIDENT,5.460171344764899,3.4646031259577157,3.5224905378735016,2.60416666666667
2024,US SENATE,5.7033325174608045,4.016463996744763,4.04850187355347,3.44154293638545
