year,state,total_vote,d,r,margin
1868,LOUISIANA,113488,80225,33263,41.380586493726206
1868,MAINE,112962,42460,70502,-24.824277190559663
1868,MARYLAND,92795,62357,30438,34.39732744221133
1868,MASSACHUSETTS,195508,59103,136379,-39.525748306974656
1868,MICHIGAN,225632,97069,128563,-13.95812650687846
1868,MINNESOTA,71620,28075,43545,-21.600111700642284
1868,MISSOURI,152488,65628,86860,-13.923718587692148
1868,NEBRASKA,15291,5519,9772,-27.81374664835524
1868,NEVADA,11689,5215,6474,-10.770810163401489
1868,NEW HAMPSHIRE,68304,30575,37718,-10.457659873506676
1868,NEW JERSEY,163133,83001,80132,1.7586876965420828
1868,NEW YORK,849771,429883,419888,1.1761992348526815
1868,NORTH CAROLINA,181498,84559,96939,-6.821011801782939
1868,OHIO,518665,238506,280159,-8.03080986764096
1868,OREGON,22086,11125,10961,0.7425518427963462
1868,PENNSYLVANIA,655662,313382,342280,-4.407453840545888
1868,RHODE ISLAND,19511,6494,13017,-33.43242273589257
1868,SOUTH CAROLINA,107538,45237,62301,-15.867879261284385
1868,TENNESSEE,82757,26129,56628,-36.853680051234335
1868,VERMONT,56224,12051,44173,-57.13218554354012
1868,WEST VIRGINIA,49321,20306,29015,-17.657792826585023
1868,WISCONSIN,193628,84708,108920,-12.504389860970516
1872,ALABAMA,169716,79444,90272,-6.380070234980795
1872,ARKANSAS,79300,37927,41373,-4.345523329129891
1872,CALIFORNIA,95785,40717,54007,-13.874823824189598
1872,CONNECTICUT,95992,45685,50307,-4.8149845820485035
1872,DELAWARE,21822,10205,11129,-4.234259004674179
1872,FLORIDA,33190,15427,17763,-7.038264537511302
1872,GEORGIA,138906,76356,62550,9.939095503433975
1872,ILLINOIS,429971,184884,241936,-13.268801849427048
1872,INDIANA,349779,163632,186147,-6.436921599066836
1872,IOWA,216365,71189,131566,-27.90516026159499
1872,KANSAS,100512,32970,66805,-33.66264724609997
1872,KENTUCKY,191552,100208,88970,5.866814233210826
1872,LOUISIANA,128692,57029,71663,-11.371336213595251
1872,MAINE,90523,29097,61426,-35.71357555538372
1872,MARYLAND,134447,67687,66760,0.6894910262036369
1872,MASSACHUSETTS,192650,59195,133455,-38.546587075006485
1872,MICHIGAN,221569,78651,138768,-27.13240570657447
1872,MINNESOTA,91339,35131,56040,-22.8916454088615
1872,MISSISSIPPI,129457,47282,82175,-26.953351305839
1872,MISSOURI,273059,151434,119196,11.806239677139374
1872,NEBRASKA,25932,7603,18329,-41.362023754434674
1872,NEVADA,14649,6236,8413,-14.861082667758897
1872,NEW HAMPSHIRE,68906,31425,37168,-8.334542710359038
1872,NEW JERSEY,168467,76801,91666,-8.82368653801635
1872,NEW YORK,829692,387279,440758,-6.445644889910956
1872,NORTH CAROLINA,165163,70130,94772,-14.91980649419059
1872,OHIO,529435,244320,281852,-7.089066646519404
1872,OREGON,20107,7742,11818,-20.271547222360375
1872,PENNSYLVANIA,561629,212040,349589,-24.491078630198945
1872,RHODE ISLAND,18994,5329,13665,-43.88754343476888
1872,SOUTH CAROLINA,95452,22699,72290,-51.953861626786235
1872,TENNESSEE,179046,93391,85655,4.320677367827264
1872,TEXAS,115700,67675,47910,17.08297320656871
1872,VERMONT,52961,10926,41480,-57.69150884613205
1872,VIRGINIA,185195,91647,93463,-0.9805880288344726
1872,WEST VIRGINIA,62467,29532,32320,-4.463156546656638
1872,WISCONSIN,192255,86390,105012,-9.686093989753196
1876,ALABAMA,171699,102989,68708,19.96575402302867
1876,ARKANSAS,96946,58086,38649,20.049305799104665
1876,CALIFORNIA,155784,76460,79258,-1.7960766189082378
1876,COLORADO,NA,NA,NA,NA
1876,CONNECTICUT,122134,61927,59033,2.3695285506083517
1876,DELAWARE,24133,13381,10752,10.89379687564745
1876,FLORIDA,46776,22927,23849,-1.9710962886950567
