year,state,total_vote,d,r,margin
1904,WYOMING,30614,8930,20489,-37.757235251845565
1908,ALABAMA,105152,74391,25561,46.43753804017041
1908,ARKANSAS,151845,87020,56684,19.978267312061636
1908,CALIFORNIA,386625,127492,214398,-22.47811186550275
1908,COLORADO,263858,126644,123693,1.118404596411704
1908,CONNECTICUT,189903,68255,112815,-23.464610880291513
1908,DELAWARE,48007,22055,25014,-6.1636844626825225
1908,FLORIDA,49360,31104,10654,41.430307941653155
1908,GEORGIA,132794,72413,41692,23.13432835820895
1908,IDAHO,97293,36162,52621,-16.916941609365523
1908,ILLINOIS,1155254,450810,629932,-15.504988513348575
1908,INDIANA,721117,338262,348993,-1.488108032399732
1908,IOWA,494770,200771,275210,-15.045172504395987
1908,KANSAS,376043,161209,197316,-9.60182745058411
1908,KENTUCKY,490719,244092,235711,1.70790207837887
1908,LOUISIANA,75117,63568,8958,72.69992145586218
1908,MAINE,106335,35403,66987,-29.70235576244886
1908,MARYLAND,238531,115908,116513,-0.253635795766588
1908,MASSACHUSETTS,456905,155533,265966,-24.169794596250867
1908,MICHIGAN,538124,174619,333313,-29.490229017847184
1908,MINNESOTA,331328,109411,195846,-26.087442051381103
1908,MISSISSIPPI,66904,60287,4363,83.5884252062657
1908,MISSOURI,715841,346574,347203,-0.08786867474760429
1908,MONTANA,69233,29511,32471,-4.275417792093367
1908,NEBRASKA,266799,131099,126997,1.537487022065298
1908,NEVADA,24526,11212,10775,1.7817825980592006
1908,NEW HAMPSHIRE,89595,33655,53144,-21.752329929125512
1908,NEW JERSEY,467111,182522,265298,-17.720841513045084
1908,NEW YORK,1638350,667468,870070,-12.366222113711968
1908,NORTH CAROLINA,252554,136928,114887,8.727242490714854
1908,NORTH DAKOTA,94524,32884,57680,-26.23249121916127
1908,OHIO,1121552,502721,572312,-6.204883946531236
1908,OKLAHOMA,254260,122362,110473,4.6759222842759405
1908,OREGON,110539,37792,62454,-22.31067767937108
1908,PENNSYLVANIA,1267450,448782,745779,-23.43264034084185
1908,RHODE ISLAND,72317,24706,43942,-26.599554738166688
1908,SOUTH CAROLINA,66379,62288,3945,87.89376158122299
1908,SOUTH DAKOTA,114775,40266,67536,-23.75952951426704
1908,TENNESSEE,257180,135608,117977,6.855509759701378
1908,TEXAS,292913,216662,65605,51.57060287525648
1908,UTAH,108757,42610,61165,-17.060970788087204
1908,VERMONT,52680,11496,39552,-53.25740318906607
1908,VIRGINIA,137065,82946,52572,22.1602889140189
1908,WASHINGTON,183570,58383,106062,-25.97319823500572
1908,WEST VIRGINIA,258098,111410,137869,-10.251532363675814
1908,WISCONSIN,454438,166662,247744,-17.842257909769877
1908,WYOMING,37608,14918,20846,-15.762603701340144
1912,ALABAMA,117959,82438,9807,61.57308895463678
1912,ARIZONA,23687,10324,2986,30.979018026765736
1912,ARKANSAS,125104,68814,25585,34.55445069702007
1912,CALIFORNIA,677877,283436,3847,41.24479809758997
1912,COLORADO,265954,113912,58386,20.878046579483673
1912,CONNECTICUT,190404,74561,68324,3.2756664775950073
1912,DELAWARE,48690,22631,15997,13.624974327377288
1912,FLORIDA,51911,36417,4279,61.90980716996397
1912,GEORGIA,121470,93087,5191,72.36025356054992
1912,IDAHO,105754,33921,32810,1.050551279384232
1912,ILLINOIS,1146173,405048,253593,13.213973806746452
1912,INDIANA,654474,281890,151267,19.95847046635924
1912,IOWA,492353,185322,119805,13.306915972889373
1912,KANSAS,365560,143663,74845,18.825363825363823
1912,KENTUCKY,453707,219585,115520,22.936608868719237
1912,LOUISIANA,79248,60871,3833,71.97405612759943
1912,MAINE,129641,51113,26545,18.950794887419875
1912,MARYLAND,231981,112674,54956,24.880485901862652
1912,MASSACHUSETTS,488056,173408,155948,3.577458324454569
1912,MICHIGAN,547971,150201,151434,-0.2250119075644541
1912,MINNESOTA,334219,106426,64334,12.59413737698934
1912,MISSISSIPPI,64483,57324,1560,86.47860676457361
1912,MISSOURI,698566,330746,207821,17.596762510628917
1912,MONTANA,80256,28129,18575,11.90440590111643
1912,NEBRASKA,249483,109008,54226,21.958209577406073
1912,NEVADA,20115,7986,3196,23.81307481978623
1912,NEW HAMPSHIRE,87961,34724,32927,2.042950853219039
1912,NEW JERSEY,433663,178638,89066,20.654748041682133
1912,NEW MEXICO,48807,20437,17164,6.706005286126987
1912,NEW YORK,1588315,655573,455487,12.59737520579986
1912,NORTH CAROLINA,243776,144407,29129,47.28849435547387
1912,NORTH DAKOTA,86474,29549,22990,7.584938825542936
1912,OHIO,1037114,424834,278168,14.141743337762293
1912,OKLAHOMA,253694,119143,90726,11.20128974276096
1912,OREGON,137040,47064,34673,9.041885580852306
1912,PENNSYLVANIA,1217736,395637,273360,10.041339009440469
1912,RHODE ISLAND,77894,30412,27703,3.47780316840835
1912,SOUTH CAROLINA,50403,48355,536,94.87332103247822
1912,SOUTH DAKOTA,116327,48942,NA,NA
1912,TENNESSEE,251933,133021,60475,28.795751251324752
1912,TEXAS,300961,218921,28310,63.33411970321736
1912,UTAH,112272,36576,42013,-4.842703434516177
1912,VERMONT,62804,15350,23303,-12.663206165212406
1912,VIRGINIA,136975,90332,23288,48.94615805803979
1912,WASHINGTON,322799,86840,70445,5.07901201676585
1912,WEST VIRGINIA,268728,113097,56754,20.96655354112709
1912,WISCONSIN,399975,164230,130596,8.409025564097755
1912,WYOMING,42283,15310,14560,1.7737625050256611
1916,ALABAMA,131142,99409,28809,53.83477451922344
1916,ARIZONA,58019,33170,20522,21.79975525258967
1916,ARKANSAS,168348,112186,47148,38.63306959393636
1916,CALIFORNIA,999250,465936,462516,0.3422566925193937
1916,COLORADO,294375,178816,102308,25.989978768577497
1916,CONNECTICUT,213874,99786,106514,-3.1457774203502984
1916,DELAWARE,51810,24753,26011,-2.4281026828797514
1916,FLORIDA,80734,55984,14611,51.24606733222682
1916,GEORGIA,158690,125845,11225,72.22887390509798
1916,IDAHO,134615,70054,55368,10.909631170374771
1916,ILLINOIS,2192707,950229,1152549,-9.226950978858556
1916,INDIANA,718853,334063,341005,-0.9657050885229612
1916,IOWA,518738,221699,280439,-11.323635438313756
1916,KANSAS,629813,314588,277658,5.863645240730181
1916,KENTUCKY,520078,269990,241854,5.409957737108662
1916,LOUISIANA,92974,79875,6466,78.95648245746122
1916,MAINE,136314,64033,69508,-4.016461992165143
1916,MARYLAND,262039,138359,117347,8.018653711852053
1916,MASSACHUSETTS,531822,247885,268784,-3.929698282508054
1916,MICHIGAN,646873,283993,337952,-8.34151371289264
1916,MINNESOTA,387367,179155,179544,-0.10042156404649892
1916,MISSISSIPPI,86679,80422,4253,87.87480243196161
1916,MISSOURI,786773,398032,369339,3.6469223016041497
1916,MONTANA,178009,101104,66933,19.196220415821667
1916,NEBRASKA,287315,158827,117771,14.289542836259857
1916,NEVADA,33314,17776,12127,16.95683496427928
1916,NEW HAMPSHIRE,89127,43781,43725,0.06283168961145336
1916,NEW JERSEY,494442,211018,268982,-11.723114136744044
1916,NEW MEXICO,66879,33693,31097,3.8816369861989553
1916,NEW YORK,1706305,759426,879238,-7.02172237671459
1916,NORTH CAROLINA,289837,168383,120890,16.386106673751105
1916,NORTH DAKOTA,115390,55206,53471,1.503596498830051
1916,OHIO,1165091,604161,514753,7.673907016705128
1916,OKLAHOMA,292327,148123,97233,17.408586959124545
1916,OREGON,261650,120087,126813,-2.5706095929677044
1916,PENNSYLVANIA,1297189,521784,703823,-14.033344408563435
1916,RHODE ISLAND,87816,40394,44858,-5.083356108226289
1916,SOUTH CAROLINA,63950,61845,1550,94.28459734167318
1916,SOUTH DAKOTA,128942,59191,64217,-3.897876564656977
1916,TENNESSEE,272190,153280,116223,13.614387009074546
1916,TEXAS,372467,286514,64999,59.47238278827386
1916,UTAH,143145,84145,54137,20.96335883195361
1916,VERMONT,64475,22708,40250,-27.20744474602559
1916,VIRGINIA,153993,102825,49358,34.72040936925704
1916,WASHINGTON,380994,183388,167208,4.246786038625277
1916,WEST VIRGINIA,289671,140403,143124,-0.9393415288378836
1916,WISCONSIN,447134,191363,220822,-6.588405265535613
1916,WYOMING,51906,28376,21698,12.865564674604096
1920,ALABAMA,233951,156064,74719,34.770101431496336
1920,ARIZONA,66803,29546,37016,-11.182132538957834
1920,ARKANSAS,183637,107409,71117,19.76290181172639
1920,CALIFORNIA,943463,229191,624992,-41.95193664192449
1920,COLORADO,292053,104936,173248,-23.390275052815756
1920,CONNECTICUT,365518,120721,229238,-29.68855158979859
1920,DELAWARE,94875,39911,52858,-13.646376811594202
1920,FLORIDA,145684,90515,44853,31.34318113176465
1920,GEORGIA,149558,106112,42981,42.21171719332968
1920,IDAHO,138359,46930,91351,-32.10560932068026
1920,ILLINOIS,2094714,534395,1420480,-42.30100147323214
1920,INDIANA,1262974,511364,696370,-14.648440902188014
1920,IOWA,894959,227804,634674,-45.46241783143138
1920,KANSAS,570243,185464,369268,-32.23257453401445
1920,KENTUCKY,918636,456497,452480,0.4372787480569018
1920,LOUISIANA,126397,87519,38539,38.75091972119591
1920,MAINE,197840,58961,136355,-39.119490497371615
1920,MARYLAND,428443,180626,236117,-12.95178121710472
1920,MASSACHUSETTS,993718,276691,681153,-40.70188926838399
1920,MICHIGAN,1048411,233450,762865,-50.49689482464416
1920,MINNESOTA,735838,142994,519421,-51.15623275775375
1920,MISSISSIPPI,82351,69136,11576,69.895933261284
1920,MISSOURI,1332140,574699,727252,-11.45172429324245
1920,MONTANA,179006,57372,109430,-29.081706758432684
1920,NEBRASKA,382743,119608,247498,-33.41406635784326
1920,NEVADA,27194,9851,15479,-20.69574170772965
1920,NEW HAMPSHIRE,159092,62662,95196,-20.449802629924825
1920,NEW JERSEY,910251,258761,615333,-39.17293142221211
1920,NEW MEXICO,105412,46668,57634,-10.402990171896942
1920,NEW YORK,2898513,781238,1871167,-37.603039903564344
1920,NORTH CAROLINA,538649,305367,232819,13.468511034087127
1920,NORTH DAKOTA,205786,37422,160082,-59.60560971105906
1920,OHIO,2021653,780037,1182022,-19.883976132402548
1920,OKLAHOMA,485678,216122,243840,-5.7070734107783405
1920,OREGON,238522,80019,143592,-26.652887364687537
1920,PENNSYLVANIA,1851248,503202,1218215,-38.62329628445244
1920,RHODE ISLAND,167981,55062,107463,-31.19459938921664
1920,SOUTH CAROLINA,66808,64170,2610,92.14465333492996
1920,SOUTH DAKOTA,182237,35938,110692,-41.0202099463885
1920,TENNESSEE,428036,206558,219229,-2.9602650244371977
1920,TEXAS,486109,287920,114658,35.64262336225003
1920,UTAH,145828,56639,81555,-17.085881997970215
1920,VERMONT,89961,20919,68212,-52.5705583530641
1920,VIRGINIA,231000,141670,87456,23.46926406926407
1920,WASHINGTON,398715,84298,223137,-34.821614436376855
1920,WEST VIRGINIA,509936,220785,282007,-12.005820338238529
1920,WISCONSIN,701281,113422,498576,-54.92149366659014
1920,WYOMING,56253,17429,35091,-31.397436581160115
1924,ALABAMA,166593,112966,45005,40.794631227002334
1924,ARIZONA,73961,26235,30516,-5.78818566541826
1924,ARKANSAS,138540,84790,40583,31.90919590010105
1924,CALIFORNIA,1281778,105514,733250,-48.97384726528307
1924,COLORADO,342261,75238,195171,-35.041386544187034
1924,CONNECTICUT,400396,110184,246322,-34.000839169222466
1924,DELAWARE,90885,33445,52441,-20.901138801782476
1924,FLORIDA,109158,62083,30633,28.81144762637644
1924,GEORGIA,166635,123262,30300,55.78779968193957
1924,IDAHO,147690,23951,69791,-31.037984968515133
1924,ILLINOIS,2470067,576975,1453321,-35.478632765831854
1924,INDIANA,1272390,492245,703042,-16.567011686668398
1924,IOWA,976770,160382,537458,-38.60437974139255
1924,KANSAS,662456,156320,407671,-37.94229352590964
1924,KENTUCKY,816070,375593,398966,-2.8640925410810314
1924,LOUISIANA,121951,93218,24670,56.20946117703012
1924,MAINE,192192,41964,138440,-50.19771894771894
1924,MARYLAND,358630,148072,162414,-3.999107715472772
1924,MASSACHUSETTS,1129837,280831,703476,-37.40760835412542
1924,MICHIGAN,1160419,152359,874631,-62.24234522185521
1924,MINNESOTA,822146,55913,420759,-44.377276055591096
1924,MISSISSIPPI,112442,100474,8494,81.80217356503798
1924,MISSOURI,1310095,574962,648488,-5.612264759425845
1924,MONTANA,174425,33805,74138,-23.12340547513258
1924,NEBRASKA,463559,137299,218985,-17.621489389700123
1924,NEVADA,26921,5909,11243,-19.813528472196428
1924,NEW HAMPSHIRE,164769,57201,98575,-25.110305943472376
1924,NEW JERSEY,1088054,298043,676277,-34.76242907061597
1924,NEW MEXICO,112830,48542,54745,-5.497651333865106
1924,NEW YORK,3263939,950796,1820058,-26.632299194317056
1924,NORTH CAROLINA,481608,284190,190754,19.400840517599377
1924,NORTH DAKOTA,199081,13858,94931,-40.723625057137546
1924,OHIO,2016296,477887,1176130,-34.629984883171915
1924,OKLAHOMA,527928,255798,225755,5.690738130957257
1924,OREGON,279488,67589,142579,-26.831205633157772
1924,PENNSYLVANIA,2144850,409192,1401481,-46.26379467095601
1924,RHODE ISLAND,210115,76606,125286,-23.16826499773933
1924,SOUTH CAROLINA,50755,49008,1123,94.34538469116345
1924,SOUTH DAKOTA,203868,27214,101299,-36.33969038789805
1924,TENNESSEE,301030,159339,130831,9.47015247649736
1924,TEXAS,657054,483381,130794,53.66179948680018
1924,UTAH,156990,47001,77327,-19.31715395885088
1924,VERMONT,102917,16124,80498,-62.54943303827356
1924,VIRGINIA,223603,139717,73328,29.690567657857898
1924,WASHINGTON,421549,42842,220224,-42.07861956735753
1924,WEST VIRGINIA,583662,257232,288635,-5.380339991296329
1924,WISCONSIN,840827,68115,311614,-28.959464907763422
1924,WYOMING,79900,12868,41858,-36.28285356695869
1928,ALABAMA,248981,127796,120725,2.839975741120815
1928,ARIZONA,91254,38537,52533,-15.337409866964736
1928,ARKANSAS,197726,119196,77784,20.944134812821787
1928,CALIFORNIA,1796656,614365,1162323,-30.498771050217737
1928,COLORADO,392242,133131,253872,-30.782272168712172
1928,CONNECTICUT,553118,252085,296641,-8.055423978246957
1928,DELAWARE,104602,35354,68860,-32.0318923156345
1928,FLORIDA,253672,101764,144168,-16.71607430067173
1928,GEORGIA,231592,129604,101800,12.005596048222738
1928,IDAHO,154230,53074,99848,-30.327433054528942
1928,ILLINOIS,3107489,1313817,1769141,-14.652473427902724
1928,INDIANA,1421314,562691,848290,-20.09401159771873
1928,IOWA,1009189,379011,623570,-24.23322093284806
1928,KANSAS,713200,193003,513672,-44.96200224340999
1928,KENTUCKY,940521,381070,558064,-18.81871856130804
1928,LOUISIANA,215833,164655,51160,52.58463719635088
1928,MAINE,262170,81179,179923,-37.66411107296792
1928,MARYLAND,528348,223626,301479,-14.735174544050512
1928,MASSACHUSETTS,1577823,792758,775566,1.0896025726586545
1928,MICHIGAN,1372082,396762,965396,-41.44314989920427
1928,MINNESOTA,970976,396451,560977,-16.944394094189768
1928,MISSISSIPPI,151568,124538,27030,64.33284070516203
1928,MISSOURI,1500845,662684,834080,-11.419966752063004
1928,MONTANA,194108,78578,113300,-17.887979887485315
1928,NEBRASKA,547128,197950,345745,-27.012874501030836
1928,NEVADA,32417,14090,18327,-13.070302618996203
1928,NEW HAMPSHIRE,196757,80715,115404,-17.630376555853154
1928,NEW JERSEY,1549381,616517,926050,-19.977849218494352
1928,NEW MEXICO,118077,48211,69708,-18.205916478230304
1928,NEW YORK,4405626,2089863,2193344,-2.34883759992337
1928,NORTH CAROLINA,635150,286227,348923,-9.871054081712982
1928,NORTH DAKOTA,239845,106648,131419,-10.32792011507432
1928,OHIO,2508346,864210,1627546,-30.431846324231188
1928,OKLAHOMA,618427,219174,394046,-28.276902528511854
1928,OREGON,319942,109223,205341,-30.042320170530907
1928,PENNSYLVANIA,3150612,1067586,2055382,-31.352511829447742
1928,RHODE ISLAND,237194,118973,117522,0.6117355413712056
1928,SOUTH CAROLINA,68605,62700,5858,82.8540193863421
1928,SOUTH DAKOTA,261857,102660,157603,-20.982062728894014
1928,TENNESSEE,353192,157143,195388,-10.828387958957167
1928,TEXAS,708999,341032,367036,-3.6677061603754
1928,UTAH,176603,80985,94618,-7.719574412665697
1928,VERMONT,135191,44440,90404,-33.99930468744222
1928,VIRGINIA,305364,140146,164609,-8.011094955528486
1928,WASHINGTON,500840,156772,335844,-35.754332721028675
1928,WEST VIRGINIA,642752,263784,375551,-17.38882181619038
1928,WISCONSIN,1016831,450259,544205,-9.239096762392174
1928,WYOMING,82835,29299,52748,-28.308082332347436
1932,ALABAMA,245303,207910,34675,70.62082404210304
1932,ARIZONA,118251,79264,36104,36.49863426102105
1932,ARKANSAS,216569,186829,27465,73.58578559258251
1932,CALIFORNIA,2266972,1324157,847902,21.008420042241372
1932,COLORADO,457696,250877,189617,13.38442983989373
1932,CONNECTICUT,594183,281632,288420,-1.1424089884766175
1932,DELAWARE,112901,54319,57073,-2.4393052320174355
1932,FLORIDA,276943,206307,69170,49.5181318899557
1932,GEORGIA,255590,234118,19863,83.82761453890998
1932,IDAHO,186520,109479,71312,20.462684966759596
1932,ILLINOIS,3407926,1882304,1432756,13.191248871014215
1932,INDIANA,1576927,862054,677184,11.723434249017227
1932,IOWA,1036687,598019,414433,17.708913104919805
1932,KANSAS,791978,424204,349498,9.432837780847446
1932,KENTUCKY,983059,580574,394716,18.90608803744231
1932,LOUISIANA,268804,249418,18853,85.77439323819586
1932,MAINE,298444,128907,166631,-12.6402273123266
1932,MARYLAND,511054,314314,184184,25.463062611778795
1932,MASSACHUSETTS,1580114,800148,736959,3.9990152609242102
1932,MICHIGAN,1664765,871700,739894,7.917393746264489
1932,MINNESOTA,1002843,600806,363959,23.61755529030965
1932,MISSISSIPPI,146034,140168,5180,92.43600805291918
1932,MISSOURI,1609894,1025406,564713,28.616356107917667
1932,MONTANA,216479,127286,78078,22.731073221882948
1932,NEBRASKA,570135,359082,201177,27.69607198295141
1932,NEVADA,41430,28756,12674,38.817282162684045
1932,NEW HAMPSHIRE,205520,100680,103629,-1.4348968470221934
1932,NEW JERSEY,1630063,806630,775684,1.898454231523572
1932,NEW MEXICO,151606,95089,54217,26.95935517063969
1932,NEW YORK,4688614,2534959,1937963,12.732888653235264
1932,NORTH CAROLINA,711498,497566,208344,40.64972775749194
1932,NORTH DAKOTA,256290,178350,71772,41.58492332904133
1932,OHIO,2609728,1301695,1227319,2.849952178924392
1932,OKLAHOMA,704633,516468,188165,46.5920557226244
1932,OREGON,368751,213871,136019,21.112349525831796
1932,PENNSYLVANIA,2859021,1295948,1453540,-5.512096623284679
1932,RHODE ISLAND,266170,146604,115266,11.773678476161848
1932,SOUTH CAROLINA,104407,102347,1978,96.1324432269867
1932,SOUTH DAKOTA,288438,183515,99212,29.22742495787656
1932,TENNESSEE,390273,259473,126752,34.007220586615006
1932,TEXAS,863406,760348,97959,76.71813723786956
1932,UTAH,206578,116750,84795,15.468733359796303
1932,VERMONT,136980,56266,78984,-16.58490290553365
1932,VIRGINIA,297942,203979,89637,38.37726805888394
1932,WASHINGTON,614814,353260,208645,23.521748040870904
1932,WEST VIRGINIA,743774,405124,330731,10.002097411310425
1932,WISCONSIN,1114814,707410,347741,32.26269135479103
1932,WYOMING,96962,54370,39583,15.250304242899276
1936,ALABAMA,275744,238196,35358,73.56025879076245
1936,ARIZONA,124163,86722,33433,42.91858283063392
1936,ARKANSAS,179431,146765,32049,63.93321109507275
1936,CALIFORNIA,2638882,1766836,836431,35.25754467232714
1936,COLORADO,488685,295021,181267,23.27757144172627
1936,CONNECTICUT,690723,382129,278685,14.9761916137149
1936,DELAWARE,127603,69702,54014,12.294381793531494
1936,FLORIDA,327436,249117,78248,52.18393823525819
1936,GEORGIA,293170,255363,36943,74.50284817682574
1936,IDAHO,199617,125683,66256,29.77051052766047
1936,ILLINOIS,3956522,2282999,1570393,18.010919691587716
1936,INDIANA,1650897,934974,691570,14.743742341284763
1936,IOWA,1142737,621756,487977,11.7068931871463
1936,KANSAS,865507,464520,397727,7.717210837116278
1936,KENTUCKY,926214,541944,369702,18.596350303493576
1936,LOUISIANA,329778,292894,36791,77.65921316764612
1936,MAINE,304240,126333,168823,-13.965947935840124
1936,MARYLAND,624896,389612,231435,25.31253200532568
1936,MASSACHUSETTS,1840357,942716,768613,9.460284064450535
1936,MICHIGAN,1805098,1016794,699733,17.564752717026995
1936,MINNESOTA,1129975,698811,350461,30.828115666275806
1936,MISSISSIPPI,162142,157333,4467,94.27908870002835
1936,MISSOURI,1828635,1111043,697891,22.593464524084904
1936,MONTANA,230502,159690,63598,41.68814153456369
1936,NEBRASKA,608023,347445,247731,16.3997085636563
1936,NEVADA,43848,31925,11923,45.616675789089584
1936,NEW HAMPSHIRE,218114,108460,104642,1.750460768222123
1936,NEW JERSEY,1820437,1083850,720322,19.96927111457304
1936,NEW MEXICO,169135,106037,61727,26.198007508794745
1936,NEW YORK,5596398,3293222,2180670,19.87978696297154
1936,NORTH CAROLINA,839475,616141,223294,46.796747967479675
1936,NORTH DAKOTA,273716,163148,72751,33.0258369989332
1936,OHIO,3012660,1747140,1127855,20.55608664768013
1936,OKLAHOMA,749740,501069,245122,34.13810120841892
1936,OREGON,414021,266733,122706,34.787365858253565
1936,PENNSYLVANIA,4138105,2353788,1690300,16.033619253257232
1936,RHODE ISLAND,310278,164338,125031,12.668316799773104
1936,SOUTH CAROLINA,115437,113791,1646,97.14822803780416
1936,SOUTH DAKOTA,296452,160137,125977,11.522944692564051
1936,TENNESSEE,475533,327083,146516,37.9714972462479
1936,TEXAS,843482,734485,103874,74.76282837096701
1936,UTAH,216679,150248,64555,39.54836417003955
1936,VERMONT,143689,62124,81023,-13.152711759424868
1936,VIRGINIA,334590,234980,98336,40.83923607997848
1936,WASHINGTON,692338,459579,206892,36.4976355479549
1936,WEST VIRGINIA,829945,502582,325358,21.353704161119115
1936,WISCONSIN,1258560,802984,380828,33.54277904907196
1936,WYOMING,103382,62624,38739,23.103635062196513
1940,ALABAMA,294219,250726,42184,70.87985480203521
1940,ARIZONA,150039,95267,54030,27.48418744459774
1940,ARKANSAS,200429,157213,42122,57.42232910407176
1940,CALIFORNIA,3268791,1877618,1351419,16.09766424344658
1940,COLORADO,549004,265554,279576,-2.554079751695798
1940,CONNECTICUT,781502,417621,361819,7.140352807798317
1940,DELAWARE,136374,74599,61440,9.649199994133784
1940,FLORIDA,485640,359334,126158,48.01416687258051
1940,GEORGIA,312686,265194,46495,69.94205049154743
1940,IDAHO,235168,127842,106553,9.052677234997958
1940,ILLINOIS,4217935,2149934,2047240,2.434698495827936
1940,INDIANA,1782747,874063,899466,-1.4249357872990365
1940,IOWA,1215432,578802,632370,-4.407321841123163
1940,KANSAS,860297,364725,489169,-14.465237005359777
1940,KENTUCKY,970163,557322,410384,15.145702320125586
1940,LOUISIANA,372305,319751,52446,71.79731671613328
1940,MAINE,320840,156478,163951,-2.329198354319911
1940,MARYLAND,660104,384546,269534,17.423315113982042
1940,MASSACHUSETTS,2026993,1076522,939700,6.749998643310562
1940,MICHIGAN,2085929,1032991,1039917,-0.33203431181022536
1940,MINNESOTA,1251188,644196,596274,3.8301198540906745
1940,MISSISSIPPI,175824,168267,7364,91.51367276367276
1940,MISSOURI,1833729,958476,871009,4.769897842047543
1940,MONTANA,247873,145698,99579,18.60589898859497
1940,NEBRASKA,615878,263677,352201,-14.373625945398278
1940,NEVADA,53174,31945,21229,20.152706209801785
1940,NEW HAMPSHIRE,235419,125292,110127,6.441706064506264
1940,NEW JERSEY,1972552,1016808,945475,3.616279824308815
1940,NEW MEXICO,183258,103699,79315,13.305831123334311
1940,NEW YORK,6301596,3251918,3027478,3.5616374010647434
1940,NORTH CAROLINA,822648,609015,213633,48.06211162003676
1940,NORTH DAKOTA,280775,124036,154590,-10.882022972130706
1940,OHIO,3319912,1733139,1586773,4.4087313157698205
1940,OKLAHOMA,826212,474313,348872,15.18266498186906
1940,OREGON,481240,258415,219555,8.074972986451673
1940,PENNSYLVANIA,4078714,2171035,1889848,6.8940112005892065
1940,RHODE ISLAND,321152,182181,138654,13.553395277002789
1940,SOUTH CAROLINA,99830,95470,4360,91.26515075628568
1940,SOUTH DAKOTA,308427,131362,177065,-14.818093098204766
1940,TENNESSEE,522823,351601,169153,34.896705003414155
1940,TEXAS,1041168,840151,199152,61.56537657707498
1940,UTAH,247819,154277,93151,24.66558254209726
1940,VERMONT,143062,64269,78371,-9.857264682445376
1940,VIRGINIA,346608,235961,109363,36.5248349720722
1940,WASHINGTON,793833,462145,322123,17.63872250208798
1940,WEST VIRGINIA,868076,495662,372414,14.197835212585067
1940,WISCONSIN,1405522,704821,679206,1.8224545755954005
1940,WYOMING,112240,59287,52633,5.928367783321459
1944,ALABAMA,244743,198918,44540,63.07759568200112
1944,ARIZONA,137634,80926,56287,17.901826583547674
1944,ARKANSAS,212954,148965,63551,40.10913154953652
1944,CALIFORNIA,3520875,1988564,1512965,13.507977420385558
1944,COLORADO,505039,234331,268731,-6.811355162670607
1944,CONNECTICUT,831990,435146,390527,5.362925035156679
1944,DELAWARE,125361,68166,56747,9.108893515527155
1944,FLORIDA,482803,339377,143215,40.629822101353966
1944,GEORGIA,328129,268187,56506,64.51151833577647
1944,IDAHO,208321,107399,100137,3.485966369209054
1944,ILLINOIS,4036061,2079479,1939314,3.472816689341407
1944,INDIANA,1672091,781403,875891,-5.650888617904171
1944,IOWA,1052599,499876,547267,-4.502284345700502
1944,KANSAS,733776,287458,442096,-21.074278798979517
1944,KENTUCKY,867924,472589,392448,9.233642576999827
1944,LOUISIANA,349383,281564,67750,61.19759690654668
1944,MAINE,296400,140631,155434,-4.994264507422402
1944,MARYLAND,608439,315490,292949,3.70472635712043
1944,MASSACHUSETTS,1960665,1035296,921350,5.811599635837839
1944,MICHIGAN,2205223,1106899,1084423,1.019216650651661
1944,MINNESOTA,1125504,589864,527416,5.548447628795639
1944,MISSISSIPPI,180234,168621,11613,87.11341922167848
1944,MISSOURI,1571697,807356,761175,2.938288995906968
1944,MONTANA,207355,112556,93163,9.352559619975404
1944,NEBRASKA,563126,233246,329880,-17.160280292510024
1944,NEVADA,54234,29623,24611,9.2414352620127591
1944,NEW HAMPSHIRE,229625,119663,109916,4.244746869896571
1944,NEW JERSEY,1963761,987874,961335,1.351437369415115
1944,NEW MEXICO,152225,81389,70688,7.029725734931846
1944,NEW YORK,6316790,3304238,2987647,5.011896865338255
1944,NORTH CAROLINA,790554,527399,263155,33.425167667230824
1944,NORTH DAKOTA,220182,100144,118535,-8.352635546956611
1944,OHIO,3153056,1570763,1582293,-0.3656769813159044
1944,OKLAHOMA,722636,401549,319424,11.364642780044171
1944,OREGON,480147,248635,225365,4.846432446729853
1944,PENNSYLVANIA,3794793,1940479,1835054,2.778148900348448
1944,RHODE ISLAND,299276,175356,123487,17.331493337253907
1944,SOUTH CAROLINA,103382,90601,4554,83.2320906927705
1944,SOUTH DAKOTA,232076,96711,135365,-16.65575070235612
1944,TENNESSEE,510692,308707,200311,21.2253178040776
1944,TEXAS,1150334,821605,191423,54.78252403215066
1944,UTAH,248319,150088,97891,21.020139417442884
1944,VERMONT,125361,53820,71527,-14.124807555778906
1944,VIRGINIA,388485,242276,145243,24.977283550201424
1944,WASHINGTON,856328,486774,361689,14.607136517782909
1944,WEST VIRGINIA,715596,392777,322819,9.77618656336816
1944,WISCONSIN,1339152,650413,674532,-1.8010651516780771
1944,WYOMING,101340,49419,51921,-2.4689165186500883
1948,ALABAMA,214980,NA,40930,NA
1948,ARIZONA,177065,95251,77597,9.970349871516104
1948,ARKANSAS,242475,149659,50959,40.705227343025065
1948,CALIFORNIA,4021538,1913134,1895269,0.44423302726468994
1948,COLORADO,515237,267288,239714,5.351711930626096
1948,CONNECTICUT,883518,423297,437754,-1.6362994302323186
1948,DELAWARE,139073,67813,69588,-1.2763081259482445
1948,FLORIDA,577643,281988,194280,15.183772676203125
